INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../tools.cpp in debug mode
   Generating csim.exe
[r][c][m]: 1 6 2	out : -7.568486691e+000		ref : -7.568586826e+000
[r][c][m]: 5 14 49	out : -7.745651245e+001		ref : -7.745639801e+001
[r][c][m]: 5 15 49	out : -3.160542297e+002		ref : -3.160543823e+002
[r][c][m]: 5 16 49	out : -2.871036987e+002		ref : -2.871040344e+002
[r][c][m]: 5 20 49	out : -2.352963562e+002		ref : -2.352965088e+002
[r][c][m]: 5 21 49	out : 5.120371094e+002		ref : 5.120374146e+002
[r][c][m]: 5 22 49	out : 2.279804840e+002		ref : 2.279813080e+002
[r][c][m]: 5 23 49	out : 2.895308838e+002		ref : 2.895310364e+002
[r][c][m]: 5 24 49	out : -5.028150635e+002		ref : -5.028152771e+002
[r][c][m]: 5 27 49	out : 3.388753967e+002		ref : 3.388755188e+002
[r][c][m]: 5 30 49	out : 5.898696899e+002		ref : 5.898698120e+002
[r][c][m]: 6 0 49	out : 3.148931580e+002		ref : 3.148933411e+002
[r][c][m]: 6 5 49	out : -2.472788086e+002		ref : -2.472789764e+002
[r][c][m]: 6 6 49	out : 9.858069611e+001		ref : 9.858085632e+001
[r][c][m]: 6 8 49	out : 6.153201904e+002		ref : 6.153204346e+002
[r][c][m]: 6 10 49	out : 3.204298401e+002		ref : 3.204294434e+002
[r][c][m]: 6 11 49	out : -1.625240173e+002		ref : -1.625238342e+002
[r][c][m]: 6 12 49	out : 1.972060242e+002		ref : 1.972059021e+002
[r][c][m]: 6 14 49	out : -4.070856934e+002		ref : -4.070855713e+002
[r][c][m]: 6 16 49	out : 4.580938416e+002		ref : 4.580936890e+002
[r][c][m]: 6 17 49	out : -2.907960815e+002		ref : -2.907962646e+002
[r][c][m]: 6 18 49	out : -3.232518921e+002		ref : -3.232517700e+002
[r][c][m]: 6 20 49	out : 1.836049652e+002		ref : 1.836051025e+002
[r][c][m]: 6 21 49	out : 1.378638306e+002		ref : 1.378637085e+002
[r][c][m]: 6 23 49	out : -4.586947327e+002		ref : -4.586950989e+002
[r][c][m]: 6 24 49	out : -1.217435684e+002		ref : -1.217431870e+002
[r][c][m]: 6 25 49	out : -1.438701439e+001		ref : -1.438721466e+001
[r][c][m]: 6 29 49	out : 7.893236084e+002		ref : 7.893238525e+002
[r][c][m]: 6 31 49	out : 2.329520569e+002		ref : 2.329518890e+002
[r][c][m]: 7 3 49	out : 2.541712646e+002		ref : 2.541710968e+002
[r][c][m]: 7 6 49	out : 2.520545959e+002		ref : 2.520549316e+002
[r][c][m]: 7 10 49	out : 7.550684204e+002		ref : 7.550687866e+002
[r][c][m]: 7 12 49	out : 4.470307159e+001		ref : 4.470295715e+001
[r][c][m]: 7 14 49	out : -5.645203247e+002		ref : -5.645200806e+002
[r][c][m]: 7 15 49	out : 4.387082214e+002		ref : 4.387084045e+002
[r][c][m]: 7 16 49	out : -1.050037384e+001		ref : -1.049995041e+001
[r][c][m]: 7 18 49	out : -3.842455444e+002		ref : -3.842456665e+002
[r][c][m]: 7 20 49	out : 4.558725281e+002		ref : 4.558723755e+002
[r][c][m]: 7 23 49	out : -2.697677002e+002		ref : -2.697679443e+002
[r][c][m]: 7 27 49	out : -5.603040314e+001		ref : -5.603057480e+001
[r][c][m]: 7 30 49	out : -9.047572327e+001		ref : -9.047553253e+001
[r][c][m]: 8 2 49	out : 4.812086792e+002		ref : 4.812083740e+002
[r][c][m]: 8 5 49	out : 4.991191864e+001		ref : 4.991204453e+001
[r][c][m]: 8 7 49	out : 5.889448242e+002		ref : 5.889451294e+002
[r][c][m]: 8 10 49	out : 2.172017670e+002		ref : 2.172018890e+002
[r][c][m]: 8 13 49	out : 1.756096649e+002		ref : 1.756097717e+002
[r][c][m]: 8 14 49	out : 3.022359619e+002		ref : 3.022361145e+002
[r][c][m]: 8 15 49	out : -4.062430191e+001		ref : -4.062452698e+001
[r][c][m]: 8 18 49	out : 1.154082260e+002		ref : 1.154081192e+002
[r][c][m]: 8 20 49	out : 3.597692566e+002		ref : 3.597691345e+002
[r][c][m]: 8 23 49	out : 2.518474731e+002		ref : 2.518471069e+002
[r][c][m]: 8 25 49	out : 1.636907806e+002		ref : 1.636909332e+002
[r][c][m]: 8 26 49	out : 2.036756439e+002		ref : 2.036753235e+002
[r][c][m]: 8 29 49	out : 4.549660645e+002		ref : 4.549659424e+002
[r][c][m]: 9 0 49	out : 3.054635620e+002		ref : 3.054638672e+002
[r][c][m]: 9 1 49	out : 3.151802368e+002		ref : 3.151801147e+002
[r][c][m]: 9 5 49	out : -2.296240234e+001		ref : -2.296252632e+001
[r][c][m]: 9 6 49	out : 5.181736450e+002		ref : 5.181742554e+002
[r][c][m]: 9 7 49	out : 1.003394043e+003		ref : 1.003393066e+003
[r][c][m]: 9 10 49	out : 1.286783981e+001		ref : 1.286768913e+001
[r][c][m]: 9 13 49	out : 4.510776520e+000		ref : 4.511083126e+000
[r][c][m]: 9 14 49	out : -3.490651855e+002		ref : -3.490648804e+002
[r][c][m]: 9 16 49	out : -1.786547241e+002		ref : -1.786548767e+002
[r][c][m]: 9 17 49	out : -4.100290527e+002		ref : -4.100286865e+002
[r][c][m]: 9 19 49	out : 6.140979767e+001		ref : 6.140964127e+001
[r][c][m]: 9 20 49	out : -1.477698326e+001		ref : -1.477712822e+001
[r][c][m]: 9 22 49	out : -1.962160339e+002		ref : -1.962161713e+002
[r][c][m]: 9 26 49	out : -3.243918152e+002		ref : -3.243916626e+002
[r][c][m]: 10 0 49	out : -5.335747147e+001		ref : -5.335733032e+001
[r][c][m]: 10 1 49	out : 4.067521667e+002		ref : 4.067519836e+002
[r][c][m]: 10 4 49	out : -4.559383545e+002		ref : -4.559385071e+002
[r][c][m]: 10 5 49	out : 2.234188690e+002		ref : 2.234190063e+002
[r][c][m]: 10 7 49	out : 2.327429199e+002		ref : 2.327431335e+002
[r][c][m]: 10 11 49	out : 1.064134293e+002		ref : 1.064132843e+002
[r][c][m]: 10 13 49	out : 4.096961670e+002		ref : 4.096963196e+002
[r][c][m]: 10 15 49	out : 1.995067291e+002		ref : 1.995065460e+002
[r][c][m]: 10 16 49	out : 1.979686279e+002		ref : 1.979684601e+002
[r][c][m]: 10 17 49	out : -6.631715698e+002		ref : -6.631716919e+002
[r][c][m]: 10 18 49	out : 2.673118896e+002		ref : 2.673120422e+002
[r][c][m]: 10 20 49	out : -5.287116699e+002		ref : -5.287124634e+002
[r][c][m]: 10 21 49	out : -4.176384583e+002		ref : -4.176386108e+002
[r][c][m]: 10 22 49	out : -1.417085114e+002		ref : -1.417083893e+002
[r][c][m]: 10 26 49	out : 4.469823914e+002		ref : 4.469826660e+002
[r][c][m]: 10 28 49	out : -2.404203339e+002		ref : -2.404201508e+002
[r][c][m]: 10 29 49	out : -6.353256836e+002		ref : -6.353259277e+002
[r][c][m]: 11 1 49	out : -2.422908325e+002		ref : -2.422906342e+002
[r][c][m]: 11 7 49	out : -3.338862305e+002		ref : -3.338863525e+002
[r][c][m]: 11 10 49	out : 7.835919800e+002		ref : 7.835922852e+002
[r][c][m]: 11 12 49	out : -1.580413818e+002		ref : -1.580416107e+002
[r][c][m]: 11 15 49	out : -1.250983963e+002		ref : -1.250986176e+002
[r][c][m]: 11 16 49	out : -3.686817017e+002		ref : -3.686814575e+002
[r][c][m]: 11 17 49	out : 8.006253815e+001		ref : 8.006228638e+001
[r][c][m]: 11 18 49	out : -1.732115173e+001		ref : -1.732133102e+001
[r][c][m]: 11 22 49	out : -2.719230042e+002		ref : -2.719224548e+002
[r][c][m]: 11 23 49	out : 2.536142883e+002		ref : 2.536144104e+002
[r][c][m]: 11 29 49	out : 2.036379242e+002		ref : 2.036382599e+002
[r][c][m]: 11 30 49	out : -2.230792236e+002		ref : -2.230789032e+002
[r][c][m]: 12 1 49	out : -3.829152832e+002		ref : -3.829150085e+002
[r][c][m]: 12 2 49	out : 2.203023071e+002		ref : 2.203019409e+002
[r][c][m]: 12 10 49	out : 1.060045433e+001		ref : 1.060056305e+001
[r][c][m]: 12 12 49	out : 2.403767700e+002		ref : 2.403769836e+002
[r][c][m]: 12 14 49	out : 8.523904419e+001		ref : 8.523919678e+001
[r][c][m]: 12 15 49	out : 3.912559814e+002		ref : 3.912555847e+002
[r][c][m]: 12 16 49	out : -4.920758667e+002		ref : -4.920755615e+002
[r][c][m]: 12 20 49	out : 4.258838806e+002		ref : 4.258836975e+002
[r][c][m]: 12 23 49	out : 6.102358398e+002		ref : 6.102364502e+002
[r][c][m]: 12 25 49	out : -2.605299988e+002		ref : -2.605297241e+002
[r][c][m]: 12 27 49	out : -3.466345825e+002		ref : -3.466347961e+002
[r][c][m]: 12 30 49	out : -2.519743958e+002		ref : -2.519741669e+002
[r][c][m]: 13 1 49	out : -3.783550415e+002		ref : -3.783547363e+002
[r][c][m]: 13 9 49	out : -7.468190002e+001		ref : -7.468179321e+001
[r][c][m]: 13 10 49	out : 4.768969116e+002		ref : 4.768966370e+002
[r][c][m]: 13 12 49	out : 4.888681793e+001		ref : 4.888664627e+001
[r][c][m]: 13 14 49	out : 2.974790649e+002		ref : 2.974789429e+002
[r][c][m]: 13 15 49	out : -1.435989990e+002		ref : -1.435987701e+002
[r][c][m]: 13 16 49	out : -3.048758545e+002		ref : -3.048757019e+002
[r][c][m]: 13 21 49	out : -4.481225586e+002		ref : -4.481228943e+002
[r][c][m]: 13 22 49	out : 5.547894287e+002		ref : 5.547892456e+002
[r][c][m]: 13 25 49	out : -7.466782837e+002		ref : -7.466786499e+002
[r][c][m]: 13 26 49	out : -2.852454224e+002		ref : -2.852453003e+002
[r][c][m]: 13 27 49	out : -1.482469330e+002		ref : -1.482468262e+002
[r][c][m]: 13 28 49	out : 2.378215637e+002		ref : 2.378212585e+002
[r][c][m]: 13 29 49	out : -3.239404602e+002		ref : -3.239408264e+002
[r][c][m]: 13 31 49	out : 1.948251495e+002		ref : 1.948248596e+002
[r][c][m]: 14 1 49	out : -1.134805374e+002		ref : -1.134804153e+002
[r][c][m]: 14 2 49	out : 4.624302063e+002		ref : 4.624300537e+002
[r][c][m]: 14 3 49	out : 8.347687988e+002		ref : 8.347693481e+002
[r][c][m]: 14 4 49	out : 2.168344421e+002		ref : 2.168346710e+002
[r][c][m]: 14 5 49	out : 2.566111374e+001		ref : 2.566127968e+001
[r][c][m]: 14 6 49	out : -2.996586609e+002		ref : -2.996585388e+002
[r][c][m]: 14 9 49	out : -7.982344151e+000		ref : -7.982236385e+000
[r][c][m]: 14 11 49	out : 4.110032959e+002		ref : 4.110036011e+002
[r][c][m]: 14 12 49	out : -2.356558075e+002		ref : -2.356555786e+002
[r][c][m]: 14 14 49	out : 6.079722900e+002		ref : 6.079721069e+002
[r][c][m]: 14 15 49	out : 3.443115845e+002		ref : 3.443114319e+002
[r][c][m]: 14 16 49	out : 3.311767197e+001		ref : 3.311741638e+001
[r][c][m]: 14 17 49	out : -7.809140015e+002		ref : -7.809138794e+002
[r][c][m]: 14 18 49	out : -4.576077881e+002		ref : -4.576075439e+002
[r][c][m]: 14 20 49	out : 3.032591248e+002		ref : 3.032592773e+002
[r][c][m]: 14 22 49	out : 1.749892998e+001		ref : 1.749909973e+001
[r][c][m]: 14 23 49	out : -2.640127258e+002		ref : -2.640125427e+002
[r][c][m]: 14 26 49	out : 7.462827148e+002		ref : 7.462828369e+002
[r][c][m]: 14 30 49	out : -6.363936768e+002		ref : -6.363933716e+002
[r][c][m]: 14 31 49	out : 3.130988159e+002		ref : 3.130989685e+002
[r][c][m]: 15 0 49	out : -2.217652740e+002		ref : -2.217650757e+002
[r][c][m]: 15 3 49	out : 3.215349426e+002		ref : 3.215350952e+002
[r][c][m]: 15 4 49	out : -5.843635254e+002		ref : -5.843629761e+002
[r][c][m]: 15 6 49	out : 3.891340942e+002		ref : 3.891342468e+002
[r][c][m]: 15 7 49	out : 1.212225494e+002		ref : 1.212223587e+002
[r][c][m]: 15 8 49	out : -5.960238037e+002		ref : -5.960236816e+002
[r][c][m]: 15 9 49	out : -2.927981873e+002		ref : -2.927976685e+002
[r][c][m]: 15 10 49	out : 4.872765808e+002		ref : 4.872763367e+002
[r][c][m]: 15 13 49	out : -6.045647583e+002		ref : -6.045650635e+002
[r][c][m]: 15 14 49	out : 5.691928711e+002		ref : 5.691926880e+002
[r][c][m]: 15 15 49	out : -7.513439941e+002		ref : -7.513441162e+002
[r][c][m]: 15 16 49	out : 2.635763855e+002		ref : 2.635765686e+002
[r][c][m]: 15 18 49	out : -3.099240723e+002		ref : -3.099239197e+002
[r][c][m]: 15 19 49	out : 1.170691872e+001		ref : 1.170704651e+001
[r][c][m]: 15 21 49	out : -3.946453247e+002		ref : -3.946450500e+002
[r][c][m]: 15 23 49	out : -7.455059814e+002		ref : -7.455057983e+002
[r][c][m]: 15 26 49	out : -6.271156616e+002		ref : -6.271154785e+002
[r][c][m]: 15 27 49	out : 1.422788696e+002		ref : 1.422787476e+002
[r][c][m]: 15 29 49	out : 1.337555237e+002		ref : 1.337553558e+002
[r][c][m]: 15 31 49	out : -5.847616577e+002		ref : -5.847615356e+002
[r][c][m]: 16 0 49	out : -4.283652344e+002		ref : -4.283658752e+002
[r][c][m]: 16 1 49	out : -1.742104797e+002		ref : -1.742103729e+002
[r][c][m]: 16 2 49	out : -6.699447021e+002		ref : -6.699454956e+002
[r][c][m]: 16 3 49	out : 7.541120911e+001		ref : 7.541104126e+001
[r][c][m]: 16 4 49	out : -3.412947998e+002		ref : -3.412949219e+002
[r][c][m]: 16 5 49	out : 4.048867798e+002		ref : 4.048866577e+002
[r][c][m]: 16 6 49	out : 2.744197693e+002		ref : 2.744195557e+002
[r][c][m]: 16 8 49	out : 5.282445679e+002		ref : 5.282447510e+002
[r][c][m]: 16 9 49	out : 1.787406921e+002		ref : 1.787407990e+002
[r][c][m]: 16 11 49	out : 5.500737915e+002		ref : 5.500733643e+002
[r][c][m]: 16 12 49	out : 1.593428192e+002		ref : 1.593429260e+002
[r][c][m]: 16 14 49	out : 7.461399078e+001		ref : 7.461415863e+001
[r][c][m]: 16 15 49	out : 5.256316528e+002		ref : 5.256314087e+002
[r][c][m]: 16 18 49	out : 2.428827362e+002		ref : 2.428825989e+002
[r][c][m]: 16 19 49	out : 2.806452942e+002		ref : 2.806454163e+002
[r][c][m]: 16 20 49	out : 9.462994385e+002		ref : 9.463003540e+002
[r][c][m]: 16 26 49	out : -1.709746704e+002		ref : -1.709747772e+002
[r][c][m]: 16 28 49	out : -3.366634216e+002		ref : -3.366635742e+002
[r][c][m]: 16 29 49	out : -2.058509521e+002		ref : -2.058510590e+002
[r][c][m]: 16 30 49	out : 2.752879333e+002		ref : 2.752882690e+002
[r][c][m]: 17 2 49	out : 5.571792603e+001		ref : 5.571767044e+001
[r][c][m]: 17 3 49	out : -1.922215729e+002		ref : -1.922214508e+002
[r][c][m]: 17 4 49	out : 4.028138733e+001		ref : 4.028126526e+001
[r][c][m]: 17 5 49	out : 4.977283325e+002		ref : 4.977280273e+002
[r][c][m]: 17 7 49	out : 3.383442383e+002		ref : 3.383443909e+002
[r][c][m]: 17 8 49	out : 5.738071289e+002		ref : 5.738067627e+002
[r][c][m]: 17 9 49	out : 3.012059937e+002		ref : 3.012062683e+002
[r][c][m]: 17 10 49	out : 3.635856628e+002		ref : 3.635855408e+002
[r][c][m]: 17 13 49	out : -2.875515442e+002		ref : -2.875516968e+002
[r][c][m]: 17 15 49	out : 1.132132202e+003		ref : 1.132132568e+003
[r][c][m]: 17 17 49	out : -6.171171875e+002		ref : -6.171174927e+002
[r][c][m]: 17 18 49	out : 6.826480713e+002		ref : 6.826483765e+002
[r][c][m]: 17 20 49	out : 3.720163574e+002		ref : 3.720161743e+002
[r][c][m]: 17 21 49	out : 5.316229248e+002		ref : 5.316230469e+002
[r][c][m]: 17 22 49	out : -9.707956696e+001		ref : -9.707925415e+001
[r][c][m]: 17 23 49	out : -2.327433624e+002		ref : -2.327430878e+002
[r][c][m]: 17 25 49	out : -1.530878754e+002		ref : -1.530882263e+002
[r][c][m]: 17 26 49	out : -5.414657211e+001		ref : -5.414627838e+001
[r][c][m]: 17 27 49	out : 5.293513794e+002		ref : 5.293511963e+002
[r][c][m]: 17 28 49	out : 5.294851685e+002		ref : 5.294857788e+002
[r][c][m]: 17 29 49	out : -5.614317417e+000		ref : -5.614612103e+000
[r][c][m]: 18 2 49	out : 5.113251953e+002		ref : 5.113249512e+002
[r][c][m]: 18 4 49	out : 4.767211609e+002		ref : 4.767214050e+002
[r][c][m]: 18 5 49	out : -1.513659363e+002		ref : -1.513661194e+002
[r][c][m]: 18 7 49	out : 5.700024414e+001		ref : 5.700037384e+001
[r][c][m]: 18 11 49	out : -1.245895576e+001		ref : -1.245908165e+001
[r][c][m]: 18 16 49	out : 5.015061646e+002		ref : 5.015059814e+002
[r][c][m]: 18 18 49	out : 3.103417969e+002		ref : 3.103416138e+002
[r][c][m]: 18 20 49	out : 3.999278259e+002		ref : 3.999279480e+002
[r][c][m]: 18 21 49	out : 3.293045959e+002		ref : 3.293049622e+002
[r][c][m]: 18 23 49	out : -7.785048218e+002		ref : -7.785051270e+002
[r][c][m]: 18 26 49	out : -2.776654968e+002		ref : -2.776653137e+002
[r][c][m]: 18 27 49	out : -2.103823395e+002		ref : -2.103821411e+002
[r][c][m]: 18 28 49	out : -4.637683105e+002		ref : -4.637684631e+002
[r][c][m]: 18 30 49	out : 2.360478821e+002		ref : 2.360477600e+002
[r][c][m]: 19 2 49	out : 3.336136780e+002		ref : 3.336135254e+002
[r][c][m]: 19 4 49	out : 3.505274353e+002		ref : 3.505276794e+002
[r][c][m]: 19 5 49	out : 4.344300842e+002		ref : 4.344292603e+002
[r][c][m]: 19 7 49	out : 6.859898376e+001		ref : 6.859883118e+001
[r][c][m]: 19 8 49	out : -9.036865234e+001		ref : -9.036880493e+001
[r][c][m]: 19 9 49	out : 1.065958176e+002		ref : 1.065957108e+002
[r][c][m]: 19 10 49	out : 4.810087280e+002		ref : 4.810088501e+002
[r][c][m]: 19 11 49	out : 5.699285278e+002		ref : 5.699289551e+002
[r][c][m]: 19 12 49	out : -4.472044983e+002		ref : -4.472041626e+002
[r][c][m]: 19 15 49	out : 3.542459412e+002		ref : 3.542461243e+002
[r][c][m]: 19 16 49	out : 6.491428833e+002		ref : 6.491425781e+002
[r][c][m]: 19 18 49	out : 6.627131958e+002		ref : 6.627133179e+002
[r][c][m]: 19 19 49	out : 5.685365601e+002		ref : 5.685363159e+002
[r][c][m]: 19 21 49	out : 2.206087036e+002		ref : 2.206085815e+002
[r][c][m]: 19 22 49	out : 3.211590271e+002		ref : 3.211592102e+002
[r][c][m]: 19 23 49	out : -3.439931946e+002		ref : -3.439934387e+002
[r][c][m]: 19 24 49	out : -1.290865326e+002		ref : -1.290863800e+002
[r][c][m]: 19 25 49	out : -1.829402161e+002		ref : -1.829403534e+002
[r][c][m]: 19 27 49	out : 5.770671387e+002		ref : 5.770666504e+002
[r][c][m]: 19 28 49	out : 7.091655884e+002		ref : 7.091651611e+002
[r][c][m]: 19 29 49	out : 6.700501709e+002		ref : 6.700499268e+002
[r][c][m]: 19 30 49	out : -3.980290222e+002		ref : -3.980288696e+002
[r][c][m]: 20 1 49	out : 3.246282654e+002		ref : 3.246280823e+002
[r][c][m]: 20 3 49	out : 2.988945312e+002		ref : 2.988946533e+002
[r][c][m]: 20 4 49	out : 3.814474182e+002		ref : 3.814472351e+002
[r][c][m]: 20 6 49	out : -2.339888306e+002		ref : -2.339889984e+002
[r][c][m]: 20 9 49	out : -4.525331421e+002		ref : -4.525333862e+002
[r][c][m]: 20 10 49	out : 4.799299316e+002		ref : 4.799298096e+002
[r][c][m]: 20 11 49	out : -1.445298157e+002		ref : -1.445295868e+002
[r][c][m]: 20 12 49	out : 7.768993378e+001		ref : 7.769010162e+001
[r][c][m]: 20 16 49	out : -7.447008514e+001		ref : -7.447040558e+001
[r][c][m]: 20 17 49	out : 1.047720947e+003		ref : 1.047720825e+003
[r][c][m]: 20 19 49	out : -3.365755615e+002		ref : -3.365757751e+002
[r][c][m]: 20 20 49	out : 8.961306000e+001		ref : 8.961322784e+001
[r][c][m]: 20 21 49	out : -1.858736038e+000		ref : -1.858569741e+000
[r][c][m]: 20 24 49	out : -5.054455566e+002		ref : -5.054457703e+002
[r][c][m]: 20 28 49	out : 6.868803711e+002		ref : 6.868809204e+002
[r][c][m]: 20 29 49	out : -2.171247711e+002		ref : -2.171249237e+002
[r][c][m]: 21 1 49	out : 3.297327576e+002		ref : 3.297328796e+002
[r][c][m]: 21 5 49	out : 7.112775269e+002		ref : 7.112778931e+002
[r][c][m]: 21 6 49	out : -1.675570374e+002		ref : -1.675568542e+002
[r][c][m]: 21 8 49	out : 2.864362183e+002		ref : 2.864363403e+002
[r][c][m]: 21 9 49	out : -4.542683716e+002		ref : -4.542685547e+002
[r][c][m]: 21 11 49	out : 5.912635498e+002		ref : 5.912637939e+002
[r][c][m]: 21 12 49	out : 5.941647339e+002		ref : 5.941650391e+002
[r][c][m]: 21 13 49	out : 4.775411072e+002		ref : 4.775409241e+002
[r][c][m]: 21 14 49	out : 4.641746826e+002		ref : 4.641744385e+002
[r][c][m]: 21 15 49	out : -5.260935059e+002		ref : -5.260938110e+002
[r][c][m]: 21 21 49	out : 4.207407227e+002		ref : 4.207405701e+002
[r][c][m]: 21 22 49	out : 8.225930176e+002		ref : 8.225933838e+002
[r][c][m]: 21 23 49	out : 3.566444092e+002		ref : 3.566445312e+002
[r][c][m]: 21 25 49	out : 3.635242615e+002		ref : 3.635241089e+002
[r][c][m]: 21 29 49	out : -5.072058105e+001		ref : -5.072077560e+001
[r][c][m]: 21 31 49	out : 1.958505096e+002		ref : 1.958503113e+002
[r][c][m]: 22 3 49	out : 5.410728149e+002		ref : 5.410731812e+002
[r][c][m]: 22 4 49	out : -1.898220062e+002		ref : -1.898222809e+002
[r][c][m]: 22 7 49	out : 5.323903198e+002		ref : 5.323900757e+002
[r][c][m]: 22 8 49	out : -3.637316589e+002		ref : -3.637314453e+002
[r][c][m]: 22 17 49	out : 6.936030579e+001		ref : 6.936013031e+001
[r][c][m]: 22 19 49	out : -1.357241974e+002		ref : -1.357243347e+002
[r][c][m]: 22 20 49	out : -2.411054840e+002		ref : -2.411056213e+002
[r][c][m]: 22 26 49	out : -5.474835815e+002		ref : -5.474837646e+002
[r][c][m]: 22 28 49	out : 1.331583710e+002		ref : 1.331582336e+002
[r][c][m]: 22 29 49	out : 3.629216614e+002		ref : 3.629215393e+002
[r][c][m]: 23 1 49	out : -1.190085373e+002		ref : -1.190082932e+002
[r][c][m]: 23 4 49	out : 6.992169189e+002		ref : 6.992163696e+002
[r][c][m]: 23 6 49	out : 4.998235779e+002		ref : 4.998231812e+002
[r][c][m]: 23 7 49	out : 2.893854370e+002		ref : 2.893851929e+002
[r][c][m]: 23 13 49	out : 6.953710175e+001		ref : 6.953732300e+001
[r][c][m]: 23 21 49	out : 1.089170380e+002		ref : 1.089168396e+002
[r][c][m]: 23 24 49	out : 2.601101685e+002		ref : 2.601103210e+002
[r][c][m]: 23 25 49	out : -1.653919525e+002		ref : -1.653921204e+002
[r][c][m]: 24 0 49	out : 2.905272217e+002		ref : 2.905273438e+002
[r][c][m]: 24 2 49	out : 3.802877426e+001		ref : 3.802898026e+001
[r][c][m]: 24 3 49	out : 6.560761108e+002		ref : 6.560764160e+002
[r][c][m]: 24 4 49	out : 1.263157272e+002		ref : 1.263155746e+002
[r][c][m]: 24 5 49	out : -1.192627869e+002		ref : -1.192625885e+002
[r][c][m]: 24 6 49	out : 1.341714630e+002		ref : 1.341712799e+002
[r][c][m]: 24 8 49	out : -4.493670654e+002		ref : -4.493668213e+002
[r][c][m]: 24 10 49	out : 4.356500854e+002		ref : 4.356504211e+002
[r][c][m]: 24 12 49	out : -3.519184265e+002		ref : -3.519182129e+002
[r][c][m]: 24 13 49	out : -3.902821350e+002		ref : -3.902823792e+002
[r][c][m]: 24 18 49	out : 2.336108704e+002		ref : 2.336107483e+002
[r][c][m]: 24 22 49	out : -3.648531437e+000		ref : -3.648330212e+000
[r][c][m]: 24 23 49	out : -3.360831909e+002		ref : -3.360833130e+002
[r][c][m]: 24 25 49	out : -8.091185303e+002		ref : -8.091187134e+002
[r][c][m]: 24 26 49	out : 2.525821228e+002		ref : 2.525819397e+002
[r][c][m]: 24 27 49	out : -4.321866150e+002		ref : -4.321868591e+002
[r][c][m]: 24 28 49	out : 3.858266602e+002		ref : 3.858267822e+002
[r][c][m]: 24 29 49	out : 5.402644043e+002		ref : 5.402647705e+002
[r][c][m]: 25 1 49	out : -1.032437668e+002		ref : -1.032439194e+002
[r][c][m]: 25 2 49	out : 1.667838478e+001		ref : 1.667849350e+001
[r][c][m]: 25 3 49	out : 6.840503540e+002		ref : 6.840506592e+002
[r][c][m]: 25 4 49	out : -9.080394897e+002		ref : -9.080396118e+002
[r][c][m]: 25 5 49	out : 6.456644287e+002		ref : 6.456648560e+002
[r][c][m]: 25 6 49	out : 1.980591431e+002		ref : 1.980594025e+002
[r][c][m]: 25 7 49	out : -2.359307861e+002		ref : -2.359310913e+002
[r][c][m]: 25 8 49	out : 2.954369507e+002		ref : 2.954367981e+002
[r][c][m]: 25 12 49	out : 3.576796570e+002		ref : 3.576798401e+002
[r][c][m]: 25 15 49	out : -1.554158020e+002		ref : -1.554159241e+002
[r][c][m]: 25 17 49	out : -1.192879562e+002		ref : -1.192878494e+002
[r][c][m]: 25 18 49	out : 1.322915344e+002		ref : 1.322913513e+002
[r][c][m]: 25 20 49	out : 1.664255219e+002		ref : 1.664253387e+002
[r][c][m]: 25 22 49	out : 4.441732788e+002		ref : 4.441731567e+002
[r][c][m]: 25 23 49	out : -2.119665909e+001		ref : -2.119679070e+001
[r][c][m]: 25 25 49	out : 7.336358032e+002		ref : 7.336354370e+002
[r][c][m]: 25 26 49	out : -5.711246948e+002		ref : -5.711244507e+002
[r][c][m]: 25 29 49	out : 7.350872040e+001		ref : 7.350893402e+001
[r][c][m]: 26 0 49	out : -4.873220215e+002		ref : -4.873218079e+002
[r][c][m]: 26 3 49	out : 1.580403595e+002		ref : 1.580400085e+002
[r][c][m]: 26 4 49	out : -8.372868347e+001		ref : -8.372888947e+001
[r][c][m]: 26 6 49	out : 4.467809143e+002		ref : 4.467810669e+002
[r][c][m]: 26 8 49	out : -3.617508240e+002		ref : -3.617507019e+002
[r][c][m]: 26 12 49	out : 9.179877472e+001		ref : 9.179896545e+001
[r][c][m]: 26 13 49	out : -1.378826599e+002		ref : -1.378828583e+002
[r][c][m]: 26 14 49	out : 4.776783447e+002		ref : 4.776786194e+002
[r][c][m]: 26 17 49	out : 1.060497559e+003		ref : 1.060498169e+003
[r][c][m]: 26 19 49	out : -6.315416870e+002		ref : -6.315418701e+002
[r][c][m]: 26 20 49	out : -4.378022003e+001		ref : -4.378043747e+001
[r][c][m]: 26 21 49	out : -3.636642761e+002		ref : -3.636641235e+002
[r][c][m]: 26 22 49	out : -2.290747681e+002		ref : -2.290751495e+002
[r][c][m]: 26 24 49	out : 1.483033600e+002		ref : 1.483032227e+002
[r][c][m]: 26 25 49	out : 1.918756409e+002		ref : 1.918757477e+002
[r][c][m]: 26 27 49	out : 4.043053589e+002		ref : 4.043057556e+002
[r][c][m]: 26 29 49	out : 9.068535156e+002		ref : 9.068536987e+002
[r][c][m]: 26 30 49	out : -1.455102997e+002		ref : -1.455104523e+002
[r][c][m]: 26 31 49	out : 4.620905762e+002		ref : 4.620904236e+002
[r][c][m]: 27 1 49	out : 4.578048096e+002		ref : 4.578049927e+002
